Sentence;Cases
which laws did activists love fighting against ?;WhObj
which laws did activists hate fighting for ?;WhObj
which laws did activists hate fighting against ?;WhObj
which laws did activists think about fighting for ?;WhObj
which laws did activists think about fighting against ?;WhObj
which laws did governments fear fighting for ?;WhObj
which laws did governments fear fighting against ?;WhObj
which laws did governments love fighting for ?;WhObj
which laws did governments love fighting against ?;WhObj
which laws did governments hate fighting for ?;WhObj
which laws did governments hate fighting against ?;WhObj
which laws did governments think about fighting for ?;WhObj
which laws did governments think about fighting against ?;WhObj
which causes did fighting for scare john ?;WhSubj
which causes did fighting for scare mary ?;WhSubj
which causes did fighting for scare politicians ?;WhSubj
which causes did fighting for scare activists ?;WhSubj
which causes did fighting for scare governments ?;WhSubj
which causes did fighting for appeal to john ?;WhSubj
which causes did fighting for appeal to mary ?;WhSubj
which causes did fighting for appeal to politicians ?;WhSubj
which causes did fighting for appeal to activists ?;WhSubj
which causes did fighting for appeal to governments ?;WhSubj
which causes did fighting for disgust john ?;WhSubj
which causes did fighting for disgust mary ?;WhSubj
which causes did fighting for disgust politicians ?;WhSubj
which causes did fighting for disgust activists ?;WhSubj
which causes did fighting for disgust governments ?;WhSubj
which causes did fighting against scare john ?;WhSubj
which causes did fighting against scare mary ?;WhSubj
which causes did fighting against scare politicians ?;WhSubj
which causes did fighting against scare activists ?;WhSubj
which causes did fighting against scare governments ?;WhSubj
which causes did fighting against appeal to john ?;WhSubj
which causes did fighting against appeal to mary ?;WhSubj
which causes did fighting against appeal to politicians ?;WhSubj
which causes did fighting against appeal to activists ?;WhSubj
which causes did fighting against appeal to governments ?;WhSubj
which causes did fighting against disgust john ?;WhSubj
which causes did fighting against disgust mary ?;WhSubj
which causes did fighting against disgust politicians ?;WhSubj
which causes did fighting against disgust activists ?;WhSubj
which causes did fighting against disgust governments ?;WhSubj
which movements did fighting for scare john ?;WhSubj
which movements did fighting for scare mary ?;WhSubj
which movements did fighting for scare politicians ?;WhSubj
which movements did fighting for scare activists ?;WhSubj
which movements did fighting for scare governments ?;WhSubj
which movements did fighting for appeal to john ?;WhSubj
which movements did fighting for appeal to mary ?;WhSubj
which movements did fighting for appeal to politicians ?;WhSubj
which movements did fighting for appeal to activists ?;WhSubj
which movements did fighting for appeal to governments ?;WhSubj
which movements did fighting for disgust john ?;WhSubj
which movements did fighting for disgust mary ?;WhSubj
which movements did fighting for disgust politicians ?;WhSubj
which movements did fighting for disgust activists ?;WhSubj
which movements did fighting for disgust governments ?;WhSubj
which movements did fighting against scare john ?;WhSubj
which movements did fighting against scare mary ?;WhSubj
which movements did fighting against scare politicians ?;WhSubj
which movements did fighting against scare activists ?;WhSubj
which movements did fighting against scare governments ?;WhSubj
which movements did fighting against appeal to john ?;WhSubj
which movements did fighting against appeal to mary ?;WhSubj
which movements did fighting against appeal to politicians ?;WhSubj
which movements did fighting against appeal to activists ?;WhSubj
which movements did fighting against appeal to governments ?;WhSubj
which movements did fighting against disgust john ?;WhSubj
which movements did fighting against disgust mary ?;WhSubj
which movements did fighting against disgust politicians ?;WhSubj
which movements did fighting against disgust activists ?;WhSubj
which movements did fighting against disgust governments ?;WhSubj
which people did fighting for scare john ?;WhSubj
which people did fighting for scare mary ?;WhSubj
which people did fighting for scare politicians ?;WhSubj
which people did fighting for scare activists ?;WhSubj
which people did fighting for scare governments ?;WhSubj
which people did fighting for appeal to john ?;WhSubj
which people did fighting for appeal to mary ?;WhSubj
which people did fighting for appeal to politicians ?;WhSubj
which people did fighting for appeal to activists ?;WhSubj
which people did fighting for appeal to governments ?;WhSubj
which people did fighting for disgust john ?;WhSubj
which people did fighting for disgust mary ?;WhSubj
which people did fighting for disgust politicians ?;WhSubj
which people did fighting for disgust activists ?;WhSubj
which people did fighting for disgust governments ?;WhSubj
which people did fighting against scare john ?;WhSubj
which people did fighting against scare mary ?;WhSubj
which people did fighting against scare politicians ?;WhSubj
which people did fighting against scare activists ?;WhSubj
which people did fighting against scare governments ?;WhSubj
which people did fighting against appeal to john ?;WhSubj
which people did fighting against appeal to mary ?;WhSubj
which people did fighting against appeal to politicians ?;WhSubj
which people did fighting against appeal to activists ?;WhSubj
which people did fighting against appeal to governments ?;WhSubj
which people did fighting against disgust john ?;WhSubj
which people did fighting against disgust mary ?;WhSubj
which people did fighting against disgust politicians ?;WhSubj
which people did fighting against disgust activists ?;WhSubj
which people did fighting against disgust governments ?;WhSubj
which laws did fighting for scare john ?;WhSubj
which laws did fighting for scare mary ?;WhSubj
which laws did fighting for scare politicians ?;WhSubj
which laws did fighting for scare activists ?;WhSubj
which laws did fighting for scare governments ?;WhSubj
which laws did fighting for appeal to john ?;WhSubj
which laws did fighting for appeal to mary ?;WhSubj
which laws did fighting for appeal to politicians ?;WhSubj
which laws did fighting for appeal to activists ?;WhSubj
which laws did fighting for appeal to governments ?;WhSubj
which laws did fighting for disgust john ?;WhSubj
which laws did fighting for disgust mary ?;WhSubj
which laws did fighting for disgust politicians ?;WhSubj
which laws did fighting for disgust activists ?;WhSubj
which laws did fighting for disgust governments ?;WhSubj
which laws did fighting against scare john ?;WhSubj
which laws did fighting against scare mary ?;WhSubj
which laws did fighting against scare politicians ?;WhSubj
which laws did fighting against scare activists ?;WhSubj
which laws did fighting against scare governments ?;WhSubj
which laws did fighting against appeal to john ?;WhSubj
which laws did fighting against appeal to mary ?;WhSubj
which laws did fighting against appeal to politicians ?;WhSubj
which laws did fighting against appeal to activists ?;WhSubj
which laws did fighting against appeal to governments ?;WhSubj
which laws did fighting against disgust john ?;WhSubj
which laws did fighting against disgust mary ?;WhSubj
which laws did fighting against disgust politicians ?;WhSubj
which laws did fighting against disgust activists ?;WhSubj
which laws did fighting against disgust governments ?;WhSubj
what did john fear fighting for ?;WhObj
what did john fear fighting against ?;WhObj
what did john love fighting for ?;WhObj
what did john love fighting against ?;WhObj
what did john hate fighting for ?;WhObj
what did john hate fighting against ?;WhObj
what did john think about fighting for ?;WhObj
what did john think about fighting against ?;WhObj
what did mary fear fighting for ?;WhObj
what did mary fear fighting against ?;WhObj
what did mary love fighting for ?;WhObj
what did mary love fighting against ?;WhObj
what did mary hate fighting for ?;WhObj
what did mary hate fighting against ?;WhObj
what did mary think about fighting for ?;WhObj
what did mary think about fighting against ?;WhObj
what did politicians fear fighting for ?;WhObj
what did politicians fear fighting against ?;WhObj
what did politicians love fighting for ?;WhObj
what did politicians love fighting against ?;WhObj
what did politicians hate fighting for ?;WhObj
what did politicians hate fighting against ?;WhObj
what did politicians think about fighting for ?;WhObj
what did politicians think about fighting against ?;WhObj
what did activists fear fighting for ?;WhObj
what did activists fear fighting against ?;WhObj
what did activists love fighting for ?;WhObj
what did activists love fighting against ?;WhObj
what did activists hate fighting for ?;WhObj
what did activists hate fighting against ?;WhObj
what did activists think about fighting for ?;WhObj
what did activists think about fighting against ?;WhObj
what did governments fear fighting for ?;WhObj
what did governments fear fighting against ?;WhObj
what did governments love fighting for ?;WhObj
what did governments love fighting against ?;WhObj
what did governments hate fighting for ?;WhObj
what did governments hate fighting against ?;WhObj
what did governments think about fighting for ?;WhObj
what did governments think about fighting against ?;WhObj
what did fighting for scare john ?;WhSubj
what did fighting for scare mary ?;WhSubj
what did fighting for scare politicians ?;WhSubj
what did fighting for scare activists ?;WhSubj
what did fighting for scare governments ?;WhSubj
what did fighting for appeal to john ?;WhSubj
what did fighting for appeal to mary ?;WhSubj
what did fighting for appeal to politicians ?;WhSubj
what did fighting for appeal to activists ?;WhSubj
what did fighting for appeal to governments ?;WhSubj
what did fighting for disgust john ?;WhSubj
what did fighting for disgust mary ?;WhSubj
what did fighting for disgust politicians ?;WhSubj
what did fighting for disgust activists ?;WhSubj
what did fighting for disgust governments ?;WhSubj
what did fighting against scare john ?;WhSubj
what did fighting against scare mary ?;WhSubj
what did fighting against scare politicians ?;WhSubj
what did fighting against scare activists ?;WhSubj
what did fighting against scare governments ?;WhSubj
what did fighting against appeal to john ?;WhSubj
what did fighting against appeal to mary ?;WhSubj
what did fighting against appeal to politicians ?;WhSubj
what did fighting against appeal to activists ?;WhSubj
what did fighting against appeal to governments ?;WhSubj
what did fighting against disgust john ?;WhSubj
what did fighting against disgust mary ?;WhSubj
what did fighting against disgust politicians ?;WhSubj
what did fighting against disgust activists ?;WhSubj
what did fighting against disgust governments ?;WhSubj
